SubCode,Class,Day,StartTime,EndTime,Room,Teacher
CIVL352,Tutorial,Tuesday,11:30,13:30,0.201-Concrete / Geo Tech Lab,Thahsin Saidarakath
CIVL361,Computer Lab,Tuesday,13:30,16:30,0.201-Concrete / Geo Tech Lab,Mohammad AlRifai
CIVL361,Computer Lab,Tuesday,13:30,16:30,0.201-Concrete / Geo Tech Lab,Mohammad AlRifai
CIVL361,Lecture,Monday,10:30,13:30,0.201-Concrete / Geo Tech Lab,Stephen Wilkinson
CIVL361,Tutorial,Monday,14:30,16:30,0.201-Concrete / Geo Tech Lab,Stephen Wilkinson
CONV000,Tutorial,Thursday,13:30,14:30,4.53-Seminar/Tutorial,Alison Webster
CSCI218,Computer Lab,Wednesday,14:30,16:30,4.52-AI Lab,Milan Dordevic
CSCI218,Computer Lab,Thursday,14:30,16:30,6.39-Computer Lab,Milan Dordevic
CSCI218,Computer Lab,Friday,08:30,10:30,6.33-Computer Lab,Milan Dordevic
CSCI218,Computer Lab,Tuesday,12:30,14:30,4.52-AI Lab,Asma Damankesh
CSCI218,Computer Lab,Friday,10:30,12:30,4.52-AI Lab,Asma Damankesh
CSCI218,Computer Lab,Thursday,10:30,12:30,4.52-AI Lab,Nicanor Mayumu
CSCI218,Computer Lab,Thursday,14:30,16:30,4.52-AI Lab,Nicanor Mayumu
CSCI218,Computer Lab,Wednesday,12:30,14:30,4.52-AI Lab,Asma Damankesh
CSCI218,Lecture A,Thursday,12:30,14:30,5.134-Classroom A 5.13 & 5.14,Milan Dordevic
CSCI218,Lecture A,Tuesday,14:30,16:30,4.467-Classroom A 4.46 & 4.47,Milan Dordevic
CSCI218,Lecture B,Friday,14:30,16:30,5.11-Classroom B,Milan Dordevic
CSCI218,Lecture B,Friday,10:30,12:30,5.134-Classroom A 5.13 & 5.14,Milan Dordevic
CSCI235,Computer Lab,Friday,14:30,16:30,1.52-Computer Lab Single,Patrick Mukala
CSCI235,Computer Lab,Monday,08:30,10:30,1.52-Computer Lab Single,Patrick Mukala
CSCI235,Computer Lab,Friday,08:30,10:30,2.50-Computer Lab Single,Asma Damankesh
CSCI235,Computer Lab,Thursday,08:30,10:30,6.40-Computer Lab,Asma Damankesh
CSCI235,Computer Lab,Tuesday,10:30,12:30,6.40-Computer Lab,Asma Damankesh
CSCI235,Computer Lab,Wednesday,10:30,12:30,6.36-Computer Lab (Single Screen),Asma Damankesh
CSCI235,Computer Lab,Thursday,10:30,12:30,1.52-Computer Lab Single,Asmath Famnaz
CSCI235,Computer Lab,Tuesday,16:30,18:30,6.36-Computer Lab (Single Screen),Asmath Famnaz
CSCI235,Computer Lab,Wednesday,10:30,12:30,6.40-Computer Lab,Asmath Famnaz
CSCI235,Computer Lab,Tuesday,10:30,12:30,6.36-Computer Lab (Single Screen),Asmath Famnaz
CSCI235,Computer Lab,Tuesday,14:30,16:30,6.36-Computer Lab (Single Screen),Asmath Famnaz
CSCI235,Computer Lab,Wednesday,16:30,18:30,6.36-Computer Lab (Single Screen),Asmath Famnaz
CSCI235,Computer Lab,Wednesday,14:30,16:30,1.52-Computer Lab Single,Tauqeer Faiz
CSCI235,Computer Lab,Wednesday,10:30,12:30,6.39-Computer Lab,Tauqeer Faiz
CSCI235,Computer Lab,Monday,08:30,10:30,6.36-Computer Lab (Single Screen),Tauqeer Faiz
CSCI235,Lecture A,Thursday,08:30,10:30,3.44-Classroom B,Farhad Oroumchian
CSCI235,Lecture A,Thursday,12:30,14:30,3.44-Classroom B,Farhad Oroumchian
CSCI235,Lecture A,Wednesday,08:30,10:30,6.345-Classroom A 6.34 & 6.35,Patrick Mukala
CSCI235,Lecture A,Monday,12:30,14:30,4.44-Classroom B,Patrick Mukala
CSCI235,Lecture B,Friday,10:30,12:30,4.44-Classroom B,Farhad Oroumchian
CSCI235,Lecture B,Friday,14:30,16:30,4.44-Classroom B,Farhad Oroumchian
CSCI235,Lecture B,Friday,10:30,12:30,5.11-Classroom B,Patrick Mukala
CSCI235,Lecture B,Friday,08:30,10:30,5.11-Classroom B,Patrick Mukala
CSCI251,Computer Lab,Tuesday,12:30,14:30,4.42-Computer Lab (Single Screen),HC Lim
CSCI251,Computer Lab,Monday,12:30,14:30,3.47-Game Dev Lab Dual Screens,HC Lim
CSCI251,Computer Lab,Wednesday,10:30,12:30,4.42-Computer Lab (Single Screen),Shahrul Sah
CSCI251,Computer Lab,Wednesday,08:30,10:30,6.39-Computer Lab,Shahrul Sah
CSCI251,Lecture A,Monday,15:30,17:30,6.32-Classroom B,HC Lim
CSCI251,Lecture B,Tuesday,16:30,18:30,4.467-Classroom A 4.46 & 4.47,HC Lim
CSCI291,Computer Lab,Thursday,08:30,10:30,3.47-Game Dev Lab Dual Screens,Mahmoud Alkakuri
CSCI291,Computer Lab,Thursday,10:30,12:30,3.47-Game Dev Lab Dual Screens,Ashna Sreejith
CSCI291,Computer Lab,Friday,10:30,12:30,6.36-Computer Lab (Single Screen),Mahmoud Alkakuri
CSCI291,Computer Lab,Friday,14:30,16:30,3.52-Computer Lab (Network),Mahmoud Alkakuri
CSCI291,Computer Lab,Thursday,12:30,14:30,3.47-Game Dev Lab Dual Screens,Eva Barbulescu
CSCI291,Computer Lab,Friday,14:30,16:30,3.47-Game Dev Lab Dual Screens,Ashna Sreejith
CSCI291,Computer Lab,Friday,10:30,12:30,1.52-Computer Lab Single,Ashna Sreejith
CSCI291,Computer Lab,Thursday,08:30,10:30,6.36-Computer Lab (Single Screen),Ashna Sreejith
CSCI291,Lecture,Monday,11:30,13:30,6.32-Classroom B,Abdsamad Benkrid
CSCI291,Lecture,Wednesday,08:30,10:30,2.66/67-Combined-Block 19,Abdsamad Benkrid
CSCI291,Workshop,Thursday,08:30,10:30,4.48-Classroom B,Halima Asif
CSCI291,Workshop,Thursday,08:30,10:30,4.48-Classroom B,Kiyan Afsari
CSCI291,Workshop,Wednesday,10:30,12:30,3.48-Classroom B,Halima Asif
CSCI291,Workshop,Wednesday,10:30,12:30,3.48-Classroom B,Kiyan Afsari
